review_text,sentiment
"This product is absolutely amazing! The quality is outstanding and it arrived on time. Highly recommend to everyone.",positive
"Terrible product. Broke after just two days of use. Complete waste of money. Very disappointed.",negative
"Good value for money. Works as described. Packaging was decent and delivery was fast.",positive
"Battery life is excellent. Screen display is crisp and clear. Overall very satisfied with this purchase.",positive
"Very poor build quality. The plastic feels cheap and flimsy. Not worth the price at all.",negative
"Exceeded my expectations. The performance is top notch and the design looks premium.",positive
"Received a damaged product. Customer service was unhelpful and took weeks to resolve the issue.",negative
"Amazing product at this price point. Sound quality is superb. Bass is deep and clear.",positive
"Stopped working after one week. Very unreliable and the company refuses to give a refund.",negative
"Perfect gift for my friend. She loved it. The color and finish are beautiful.",positive
"The product looks nothing like the pictures. Very misleading description. Totally disappointed.",negative
"Outstanding performance. Easy to set up and use. Battery lasts all day without any issues.",positive
"Cheap quality. Fell apart within days. I expected much better for the price paid.",negative
"Fast delivery and great packaging. Product works perfectly. Will definitely buy again from this seller.",positive
"The camera quality is exceptional. Photos come out sharp and vibrant even in low light.",positive
"Worst purchase I have made this year. The device overheats constantly. Stay away from this.",negative
"Superb product. Very durable and lightweight. Exactly what I needed for my daily use.",positive
"Customer support is useless. Product is faulty and they refused to help me resolve it.",negative
"Love the sleek design. Very easy to carry around. Performance is smooth and responsive.",positive
"Not at all as described. Missing features mentioned in the listing. Feeling very cheated.",negative
"Fantastic product. Works like a charm. Great value for the money spent. Five stars.",positive
"Extremely slow and laggy. The software crashes frequently. Very frustrated with this purchase.",negative
"Good product overall. Minor issues with the packaging but the item itself is fine.",positive
"The display is stunning. Colors are vivid and bright. Very happy with this screen.",positive
"Worst delivery experience. Package arrived crushed and the product was scratched all over.",negative
"Brilliant sound quality. The speakers are loud and clear. Perfect for outdoor use.",positive
"Very disappointed. The product stopped charging after just three days of normal use.",negative
"Great value purchase. Looks elegant and performs well. Recommended for budget buyers.",positive
"Item came without the promised accessories. Seller support is pathetic and unresponsive.",negative
"Excellent product! The battery backup is incredible. Lasts two full days on single charge.",positive
"Terrible experience from start to finish. Wrong item delivered and return process is a nightmare.",negative
"Works great for my needs. Very satisfied with the purchase and the quick delivery.",positive
"The product is sturdy and well-built. Looks exactly like the photos. Happy with it.",positive
"Extremely poor quality control. The screen has dead pixels right out of the box.",negative
"Highly satisfied with this product. Fast performance and great display. Truly worth every rupee.",positive
"Very cheaply made. The buttons feel wobbly and the build quality is really bad.",negative
"Smooth experience. The interface is intuitive and everything works seamlessly as expected.",positive
